CAVEaT Item,CCM Control Title,CCM Control ID,Justification,Relevance Score
Abuse Queue Services(version 1.0),Application & Interface Security,AIS-05,"CAVEaT discusses securing queue services, which aligns with CCM's control on application security testing to maintain compliance and enable secure delivery.",8
Abuse Queue Services(version 1.0),Infrastructure & Virtualization Security,IVS-09,"Abusing queue services in CAVEaT is a type of attack that CCM's control on defense-in-depth aims to detect and respond to.",5
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Audit & Assurance,A&A-01,"CAVEaT discusses auditing permissions on cloud storage to prevent unauthorized access, which aligns with CCM's Audit and Assurance policies and procedures.",9
Abusing Cloud Storage for Access(including S3/Blob manipulation)(version 1.0),Logging and Monitoring,LOG-03,"Abusing cloud storage in CAVEaT could be detected by monitoring for security events and generating alerts, as required by CCM.",6
Accessing Data from Databases(version 1.0),Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT is about securing database access, which falls under CCM's policies for data security and privacy throughout its lifecycle.",9
Accessing Data from Databases(version 1.0),Logging and Monitoring,LOG-08,"Accessing databases in CAVEaT could be logged as events that should include relevant security information, as required in CCM.",4
Account Manipulation(version 1.0),Identity & Access Management,IAM-01,"Account manipulation in CAVEaT aligns with CCM's identity and access management policies and procedures, which aim to prevent unauthorized account changes.",10
Account Manipulation(version 1.0),Logging and Monitoring,LOG-01,"Account manipulation activities described in CAVEaT should be covered by the logging and monitoring policies and procedures required in CCM.",5
"Steal Application Access Token(version 1.1)",Identity & Access Management,IAM-01,"Stealing application access tokens in CAVEaT is an identity and access management issue that CCM's IAM policies and procedures aim to prevent.",9
"Steal Application Access Token(version 1.1)",Threat & Vulnerability Management,TVM-01,"Stealing access tokens is a vulnerability that should be identified and prioritized for remediation based on CCM's vulnerability management policies and procedures.",6
"Cloud Admin Portal/API(version 1.0)",Identity & Access Management,IAM-02,"CAVEaT discusses securing admin portals/APIs, which can be achieved through strong password policies and procedures as required by CCM.",8
"Cloud Admin Portal/API(version 1.0)",Logging and Monitoring,LOG-03,"Activity on cloud admin portals/APIs as described in CAVEaT should trigger security events and alerts based on CCM's control.",6
"Cloud Instance Metadata API(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT is about misuse of the metadata API, which CCM's IAM policies and procedures aim to prevent through secure access management practices.",7
"Cloud Instance Metadata API(version 1.0)","Governance, Risk and Compliance",GRC-07,"Metadata API risks outlined in CAVEaT should be considered as part of CCM's control to identify and document all relevant regulatory requirements.",4
"Cloud Log Scrubbing(version 1.0)",Logging and Monitoring,LOG-02,"CAVEaT discusses deleting or manipulating cloud logs, which goes against CCM's control requiring audit log protection.",10
"Cloud Log Scrubbing(version 1.0)",Identity & Access Management,IAM-09,"Scrubbing logs in CAVEaT requires privileged access, so CCM's controls on segregation of duties and management of privileged access aim to prevent this risk.",5
"Collecting Data from Cloud Logs(version 1.0)",Logging and Monitoring,LOG-08,"CCM requires generating audit records with relevant security information, which could help detect the log data collection described in CAVEaT.",7
"Collecting Data from Cloud Logs(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT describes collecting potentially sensitive data from cloud logs, which relates to CCM's policies on handling data securely throughout its lifecycle.",4
"Create New Account(version 1.0)",Identity & Access Management,IAM-01,"Adversaries creating new accounts in CAVEaT can be mitigated through CCM's IAM policies and procedures for managing accounts.",10
"Create New Account(version 1.0)",Threat & Vulnerability Management,TVM-03,"Creating accounts is an avenue for exploiting vulnerabilities, so CCM requires defining a remediation schedule for such vulnerabilities that could enable account creation.",4
Creating a VM instance(version 1.1),Infrastructure & Virtualization Security,IVS-04,"CAVEaT discusses security risks from creating VMs, which relates to CCM's control on hardening OSes and infrastructures as part of a security baseline.",8
Creating a VM instance(version 1.1),Identity & Access Management,IAM-09,"Creating VMs requires elevated privileges, which should be controlled through segregation of duties as described in CCM.",4
"Credentials in Files(version 1.1)",Identity & Access Management,IAM-15,"CAVEaT discusses credentials being unsecurely stored in files. CCM requires secure password management processes, which would prevent this issue.",9
"Credentials in Files(version 1.1)",Data Security and Privacy Lifecycle Management,DSP-05,"Credentials in files as mentioned in CAVEaT represent a data flow risk that should be documented and reviewed according to CCM's controls.",5
"Data/VM Backups(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-03,"CAVEaT discusses data/VM backup security, which relates to CCM's control about creating a data inventory to track where sensitive data is stored.",6
"Data/VM Backups(version 1.0)",Business Continuity Management and Operational Resilience,BCR-08,"Backups are important for business continuity and operational resilience, so CCM's control requiring backups directly aligns with the topic in CAVEaT.",7
"Data from VM Local File System(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT is about protecting data on VMs, which can be addressed by the defense-in-depth techniques required in CCM for responding to attacks.",7
"Data from VM Local File System(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"Collecting data from VMs as described in CAVEaT is a data security concern that CCM's policies aim to address throughout the data lifecycle.",8
"Denial of Data(version 1.1)","Security Incident Management, E-Discovery, & Cloud Forensics",SEF-04,"Denial of data (destroying data) in CAVEaT is a security incident that requires testing incident response plans, as noted in CCM.",9
"Denial of Data(version 1.1)",Business Continuity Management and Operational Resilience,BCR-01,"Data denial/destruction in CAVEaT directly impacts business continuity, which CCM provides policies and procedures for.",7
"Deprecated Cloud API's(version 1.0)",Threat & Vulnerability Management,TVM-07,"Using deprecated and likely vulnerable APIs in CAVEaT can be identified through the vulnerability detection processes required by CCM.",8
"Deprecated Cloud API's(version 1.0)",Change Control and Configuration Management,CCC-04,"Deprecated APIs as mentioned in CAVEaT could enable unauthorized changes, so CCM's controls aim to prevent such changes.",4
"Disable or Modify Security Tools(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Disabling security tools is an infrastructure security issue in CAVEaT, and CCM provides relevant policies and procedures to maintain infrastructure security.",9
"Disable or Modify Security Tools(version 1.0)",Change Control and Configuration Management,CCC-01,"Modifying security tools as described in CAVEaT represents a change that should go through CCM's change management policies to assess the associated risks.",6
"Discovery using Cloud APIs(version 1.1)",Logging and Monitoring,LOG-01,"CAVEaT is about adversaries using cloud APIs for discovery, which could be detected by logging and monitoring procedures defined in CCM.",8
"Discovery using Cloud APIs(version 1.1)","Supply Chain Management, Transparency, and Accountability",STA-03,"Using cloud APIs for discovery as mentioned in CAVEaT could be performed by CSP personnel, so CCM's control about CSPs providing guidance detailing the shared security model is relevant.",3
