CAVEaT Entry Name,Control Domain,Control Title,Control ID,Relation,Score,Justification
Abuse Queue Services,Application & Interface Security,Application Security Baseline Requirements,AIS-02,"The CAVEaT entry discusses a specific way that application security can be compromised, which relates to the CCM entry's guidance on establishing baseline security requirements for applications.",5,"While not directly overlapping, the entries are moderately related in the sense that following the CCM entry's guidance could help prevent the specific issue described in the CAVEaT entry."
Abuse Queue Services,Application & Interface Security,Secure Application Design and Development,AIS-04,"Securing the SDLC process, as described in the CCM entry, could help prevent issues like malicious queue commands described in the CAVEaT entry.",4,"The entries are somewhat related, but the CCM entry is much broader in scope than the specific scenario described in the CAVEaT entry."
Abusing Cloud Storage for Access,Identity & Access Management,Identity Inventory,IAM-03,"The CAVEaT entry describes taking advantage of misconfigured access to cloud storage, while the CCM entry recommends inventorying identities and their levels of access, which could help uncover such misconfigurations.",7,"The CCM entry provides guidance that is highly relevant to preventing the specific issue described in the CAVEaT entry, making the two closely related."
Abusing Cloud Storage for Access,Identity & Access Management,Least Privilege,IAM-05,"Enforcing least privilege access, as the CCM entry recommends, would help limit the damage that could be done by the cloud storage misconfigurations described in the CAVEaT entry.",8,"The CCM entry's guidance on least privilege access is directly applicable to mitigating the risks described in the CAVEaT entry, making the two highly related."
Accessing Data from Databases,Identity & Access Management,Least Privilege,IAM-05,"Enforcing least privilege when granting access to databases, as the CCM entry recommends, is directly relevant to preventing the overly permissive API database access described in the CAVEaT entry.",8,"The CCM entry's guidance is highly applicable to the specific risk scenario described in the CAVEaT entry, making the two closely related."
Accessing Data from Databases,Identity & Access Management,User Access Provisioning,IAM-06,"Being careful about provisioning database access, as the CCM entry discusses, could help prevent overly broad permissions grants like those described in the CAVEaT entry.",7,"The CCM entry's guidance is quite relevant to the CAVEaT scenario, though the CAVEaT entry is more specific."
Account Manipulation,Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Having strong policies around identity and access management, as the CCM entry describes, is important for preventing account manipulation issues like those in the CAVEaT entry.",6,"The entries are related, but the CCM entry is much broader in scope than the specific issues discussed in the CAVEaT entry."
Account Manipulation,Identity & Access Management,Least Privilege,IAM-05,"Enforcing least privilege, as the CCM entry recommends, would help limit the damage that could be done by account manipulation of the kind described in the CAVEaT entry.",7,"Least privilege access is highly relevant to mitigating risks of account manipulation, making the entries closely related, even though the CAVEaT entry is more specific."
Account Manipulation,Identity & Access Management,User Access Revocation,IAM-07,"Having strong processes for revoking unnecessary access, as the CCM entry recommends, could help mitigate the risk of account manipulation attacks like those described in the CAVEaT entry.",6,"The entries are moderately related, with the CCM entry's guidance helping to prevent issues like those in the CAVEaT entry."
Account Manipulation,"Governance, Risk and Compliance",Risk Management Program,GRC-02,"Establishing a strong risk management program, as the CCM entry describes, should take into account risks of account manipulation attacks like those outlined in the CAVEaT entry.",5,"The entries are moderately related, as a risk management program should cover the types of attacks mentioned in the CAVEaT entry, but at a much broader level."
